defect_id,product_line,production_date,defect_type,defect_count,total_produced,defect_rate,severity,root_cause,created_date
19,Hydraulic Actuators,2024-01-16,Porosity,0,452,0.0,Critical,Machine calibration,2024-01-16 00:00:00
20,Engine Mounts,2024-01-16,Stress Crack,40,842,0.0475,Major,Tool wear,2024-01-16 00:00:00
21,Landing Gear,2024-01-17,Surface Scratch,16,887,0.018,Major,Environmental factors,2024-01-17 00:00:00
22,Landing Gear,2024-01-18,Weld Defect,3,299,0.01,Major,Material variance,2024-01-18 00:00:00
23,Landing Gear,2024-01-18,Incorrect Assembly,5,235,0.0213,Minor,Material variance,2024-01-18 00:00:00
24,Sensor Assemblies,2024-01-19,Stress Crack,3,510,0.0059,Minor,Tool wear,2024-01-19 00:00:00
25,Turbine Blades,2024-01-20,Dimensional Out-of-Spec,5,309,0.0162,Critical,Environmental factors,2024-01-20 00:00:00
26,Hydraulic Actuators,2024-01-20,Dimensional Out-of-Spec,3,100,0.03,Critical,Process deviation,2024-01-20 00:00:00
27,Control Valves,2024-01-20,Incorrect Assembly,32,944,0.0339,Critical,Process deviation,2024-01-20 00:00:00
28,Sensor Assemblies,2024-01-21,Weld Defect,3,485,0.0062,Critical,Process deviation,2024-01-21 00:00:00
29,Landing Gear,2024-01-21,Missing Component,34,783,0.0434,Major,Operator error,2024-01-21 00:00:00
30,Turbine Blades,2024-01-21,Thread Damage,10,843,0.0119,Major,Tool wear,2024-01-21 00:00:00
31,Composite Panels,2024-01-22,Surface Scratch,16,401,0.0399,Critical,Process deviation,2024-01-22 00:00:00
32,Precision Bearings,2024-01-23,Stress Crack,3,154,0.0195,Critical,Machine calibration,2024-01-23 00:00:00
33,Precision Bearings,2024-01-23,Coating Failure,6,951,0.0063,Major,Environmental factors,2024-01-23 00:00:00
34,Engine Mounts,2024-01-25,Porosity,31,858,0.0361,Critical,Material variance,2024-01-25 00:00:00
35,Landing Gear,2024-01-28,Thread Damage,31,999,0.031,Minor,Material variance,2024-01-28 00:00:00
36,Precision Bearings,2024-01-30,Material Contamination,26,631,0.0412,Minor,Environmental factors,2024-01-30 00:00:00
37,Engine Mounts,2024-01-31,Thread Damage,43,903,0.0476,Major,Material variance,2024-01-31 00:00:00
38,Composite Panels,2024-01-31,Porosity,14,987,0.0142,Critical,Tool wear,2024-01-31 00:00:00
39,Sensor Assemblies,2024-02-01,Incorrect Assembly,0,518,0.0,Critical,Environmental factors,2024-02-01 00:00:00
40,Turbine Blades,2024-02-02,Thread Damage,25,604,0.0414,Minor,Machine calibration,2024-02-02 00:00:00
41,Composite Panels,2024-02-02,Dimensional Out-of-Spec,21,512,0.041,Major,Process deviation,2024-02-02 00:00:00
42,Turbine Blades,2024-02-02,Weld Defect,15,512,0.0293,Major,Environmental factors,2024-02-02 00:00:00
43,Turbine Blades,2024-02-03,Coating Failure,0,473,0.0,Minor,Material variance,2024-02-03 00:00:00
44,Hydraulic Actuators,2024-02-05,Incorrect Assembly,11,329,0.0334,Minor,Material variance,2024-02-05 00:00:00
45,Sensor Assemblies,2024-02-07,Porosity,2,115,0.0174,Major,Tool wear,2024-02-07 00:00:00
46,Precision Bearings,2024-02-07,Material Contamination,18,514,0.035,Minor,Tool wear,2024-02-07 00:00:00
47,Hydraulic Actuators,2024-02-07,Incorrect Assembly,2,174,0.0115,Minor,Process deviation,2024-02-07 00:00:00
48,Turbine Blades,2024-02-08,Weld Defect,17,670,0.0254,Major,Environmental factors,2024-02-08 00:00:00
49,Precision Bearings,2024-02-08,Surface Scratch,34,902,0.0377,Critical,Material variance,2024-02-08 00:00:00
50,Turbine Blades,2024-02-08,Surface Scratch,21,971,0.0216,Minor,Machine calibration,2024-02-08 00:00:00
51,Composite Panels,2024-02-09,Missing Component,38,836,0.0455,Minor,Operator error,2024-02-09 00:00:00
52,Precision Bearings,2024-02-10,Thread Damage,21,720,0.0292,Minor,Environmental factors,2024-02-10 00:00:00
53,Sensor Assemblies,2024-02-13,Porosity,20,562,0.0356,Minor,Process deviation,2024-02-13 00:00:00
54,Turbine Blades,2024-02-13,Dimensional Out-of-Spec,28,811,0.0345,Major,Material variance,2024-02-13 00:00:00
55,Composite Panels,2024-02-14,Stress Crack,12,558,0.0215,Critical,Environmental factors,2024-02-14 00:00:00
56,Turbine Blades,2024-02-15,Missing Component,28,730,0.0384,Major,Tool wear,2024-02-15 00:00:00
57,Engine Mounts,2024-02-17,Stress Crack,34,725,0.0469,Major,Environmental factors,2024-02-17 00:00:00
58,Hydraulic Actuators,2024-02-17,Thread Damage,39,977,0.0399,Major,Environmental factors,2024-02-17 00:00:00
59,Engine Mounts,2024-02-17,Material Contamination,9,835,0.0108,Major,Environmental factors,2024-02-17 00:00:00
60,Engine Mounts,2024-02-18,Porosity,2,867,0.0023,Major,Machine calibration,2024-02-18 00:00:00
61,Hydraulic Actuators,2024-02-20,Incorrect Assembly,15,798,0.0188,Critical,Machine calibration,2024-02-20 00:00:00
62,Precision Bearings,2024-02-20,Incorrect Assembly,5,130,0.0385,Major,Process deviation,2024-02-20 00:00:00
63,Sensor Assemblies,2024-02-20,Thread Damage,29,802,0.0362,Critical,Tool wear,2024-02-20 00:00:00
64,Precision Bearings,2024-02-22,Incorrect Assembly,11,654,0.0168,Major,Operator error,2024-02-22 00:00:00
65,Hydraulic Actuators,2024-02-23,Stress Crack,25,636,0.0393,Minor,Process deviation,2024-02-23 00:00:00
66,Control Valves,2024-02-23,Thread Damage,5,243,0.0206,Major,Material variance,2024-02-23 00:00:00
67,Hydraulic Actuators,2024-02-24,Thread Damage,34,799,0.0426,Major,Process deviation,2024-02-24 00:00:00
68,Control Valves,2024-02-25,Incorrect Assembly,6,659,0.0091,Major,Material variance,2024-02-25 00:00:00
69,Landing Gear,2024-02-26,Material Contamination,20,800,0.025,Minor,Operator error,2024-02-26 00:00:00
70,Engine Mounts,2024-02-26,Incorrect Assembly,14,282,0.0496,Major,Material variance,2024-02-26 00:00:00
71,Composite Panels,2024-02-27,Weld Defect,14,703,0.0199,Major,Environmental factors,2024-02-27 00:00:00
72,Landing Gear,2024-02-28,Dimensional Out-of-Spec,16,328,0.0488,Minor,Machine calibration,2024-02-28 00:00:00
73,Composite Panels,2024-02-28,Surface Scratch,11,478,0.023,Minor,Process deviation,2024-02-28 00:00:00
74,Composite Panels,2024-02-29,Incorrect Assembly,35,970,0.0361,Critical,Environmental factors,2024-02-29 00:00:00
75,Sensor Assemblies,2024-02-29,Missing Component,31,874,0.0355,Major,Material variance,2024-02-29 00:00:00
76,Precision Bearings,2024-03-02,Porosity,7,743,0.0094,Minor,Tool wear,2024-03-02 00:00:00
77,Engine Mounts,2024-03-04,Weld Defect,0,268,0.0,Minor,Machine calibration,2024-03-04 00:00:00
78,Sensor Assemblies,2024-03-04,Missing Component,15,695,0.0216,Critical,Tool wear,2024-03-04 00:00:00
79,Sensor Assemblies,2024-03-04,Missing Component,12,315,0.0381,Critical,Operator error,2024-03-04 00:00:00
80,Engine Mounts,2024-03-05,Incorrect Assembly,5,210,0.0238,Critical,Tool wear,2024-03-05 00:00:00
81,Control Valves,2024-03-05,Incorrect Assembly,11,846,0.013,Minor,Material variance,2024-03-05 00:00:00
82,Engine Mounts,2024-03-06,Dimensional Out-of-Spec,33,845,0.0391,Critical,Process deviation,2024-03-06 00:00:00
83,Engine Mounts,2024-03-06,Surface Scratch,20,971,0.0206,Critical,Environmental factors,2024-03-06 00:00:00
84,Precision Bearings,2024-03-06,Dimensional Out-of-Spec,9,966,0.0093,Major,Tool wear,2024-03-06 00:00:00
85,Hydraulic Actuators,2024-03-08,Thread Damage,12,567,0.0212,Minor,Tool wear,2024-03-08 00:00:00
86,Engine Mounts,2024-03-08,Thread Damage,3,674,0.0045,Minor,Material variance,2024-03-08 00:00:00
87,Turbine Blades,2024-03-09,Material Contamination,11,378,0.0291,Critical,Environmental factors,2024-03-09 00:00:00
88,Sensor Assemblies,2024-03-09,Material Contamination,5,511,0.0098,Major,Environmental factors,2024-03-09 00:00:00
89,Composite Panels,2024-03-09,Incorrect Assembly,1,526,0.0019,Minor,Environmental factors,2024-03-09 00:00:00
90,Engine Mounts,2024-03-10,Missing Component,28,651,0.043,Major,Material variance,2024-03-10 00:00:00
91,Hydraulic Actuators,2024-03-10,Incorrect Assembly,22,604,0.0364,Minor,Operator error,2024-03-10 00:00:00
92,Precision Bearings,2024-03-10,Thread Damage,21,654,0.0321,Major,Operator error,2024-03-10 00:00:00
93,Precision Bearings,2024-03-11,Material Contamination,8,282,0.0284,Major,Environmental factors,2024-03-11 00:00:00
94,Landing Gear,2024-03-11,Incorrect Assembly,6,184,0.0326,Critical,Material variance,2024-03-11 00:00:00
95,Precision Bearings,2024-03-15,Weld Defect,20,481,0.0416,Minor,Machine calibration,2024-03-15 00:00:00
96,Landing Gear,2024-03-16,Dimensional Out-of-Spec,4,342,0.0117,Major,Operator error,2024-03-16 00:00:00
97,Turbine Blades,2024-03-18,Stress Crack,10,431,0.0232,Critical,Environmental factors,2024-03-18 00:00:00
98,Composite Panels,2024-03-19,Dimensional Out-of-Spec,11,668,0.0165,Major,Operator error,2024-03-19 00:00:00
99,Composite Panels,2024-03-20,Thread Damage,18,495,0.0364,Minor,Process deviation,2024-03-20 00:00:00
100,Hydraulic Actuators,2024-03-20,Weld Defect,30,611,0.0491,Major,Process deviation,2024-03-20 00:00:00
101,Precision Bearings,2024-03-21,Material Contamination,26,758,0.0343,Minor,Tool wear,2024-03-21 00:00:00
102,Hydraulic Actuators,2024-03-21,Material Contamination,16,475,0.0337,Major,Operator error,2024-03-21 00:00:00
103,Control Valves,2024-03-21,Weld Defect,8,171,0.0468,Critical,Machine calibration,2024-03-21 00:00:00
104,Control Valves,2024-03-23,Material Contamination,4,956,0.0042,Critical,Environmental factors,2024-03-23 00:00:00
105,Turbine Blades,2024-03-24,Thread Damage,19,741,0.0256,Critical,Tool wear,2024-03-24 00:00:00
106,Turbine Blades,2024-03-25,Weld Defect,8,192,0.0417,Major,Operator error,2024-03-25 00:00:00
107,Engine Mounts,2024-03-25,Porosity,3,263,0.0114,Major,Operator error,2024-03-25 00:00:00
108,Turbine Blades,2024-03-25,Stress Crack,10,645,0.0155,Major,Environmental factors,2024-03-25 00:00:00
109,Hydraulic Actuators,2024-03-27,Incorrect Assembly,11,905,0.0122,Major,Process deviation,2024-03-27 00:00:00
110,Sensor Assemblies,2024-03-27,Porosity,11,366,0.0301,Minor,Operator error,2024-03-27 00:00:00
111,Engine Mounts,2024-03-27,Material Contamination,6,238,0.0252,Minor,Tool wear,2024-03-27 00:00:00
112,Hydraulic Actuators,2024-03-28,Porosity,5,733,0.0068,Minor,Machine calibration,2024-03-28 00:00:00
113,Engine Mounts,2024-03-28,Porosity,21,491,0.0428,Critical,Machine calibration,2024-03-28 00:00:00
114,Turbine Blades,2024-03-30,Stress Crack,11,662,0.0166,Critical,Machine calibration,2024-03-30 00:00:00
115,Engine Mounts,2024-03-30,Stress Crack,1,279,0.0036,Minor,Material variance,2024-03-30 00:00:00
116,Control Valves,2024-03-30,Weld Defect,25,553,0.0452,Minor,Machine calibration,2024-03-30 00:00:00
117,Turbine Blades,2024-03-31,Material Contamination,5,433,0.0115,Critical,Environmental factors,2024-03-31 00:00:00
118,Composite Panels,2024-04-01,Coating Failure,1,275,0.0036,Major,Machine calibration,2024-04-01 00:00:00
119,Control Valves,2024-04-03,Weld Defect,9,666,0.0135,Critical,Operator error,2024-04-03 00:00:00
120,Sensor Assemblies,2024-04-03,Thread Damage,15,819,0.0183,Minor,Material variance,2024-04-03 00:00:00
121,Precision Bearings,2024-04-04,Dimensional Out-of-Spec,13,373,0.0349,Major,Machine calibration,2024-04-04 00:00:00
122,Engine Mounts,2024-04-04,Weld Defect,31,854,0.0363,Critical,Process deviation,2024-04-04 00:00:00
123,Control Valves,2024-04-05,Incorrect Assembly,4,120,0.0333,Major,Operator error,2024-04-05 00:00:00
124,Engine Mounts,2024-04-05,Material Contamination,7,725,0.0097,Major,Environmental factors,2024-04-05 00:00:00
125,Turbine Blades,2024-04-06,Material Contamination,9,291,0.0309,Major,Tool wear,2024-04-06 00:00:00
126,Hydraulic Actuators,2024-04-06,Weld Defect,5,156,0.0321,Minor,Environmental factors,2024-04-06 00:00:00
127,Engine Mounts,2024-04-06,Stress Crack,33,877,0.0376,Minor,Tool wear,2024-04-06 00:00:00
128,Engine Mounts,2024-04-07,Material Contamination,20,824,0.0243,Minor,Environmental factors,2024-04-07 00:00:00
129,Hydraulic Actuators,2024-04-08,Dimensional Out-of-Spec,0,252,0.0,Critical,Operator error,2024-04-08 00:00:00
130,Turbine Blades,2024-04-09,Material Contamination,12,661,0.0182,Critical,Tool wear,2024-04-09 00:00:00
131,Precision Bearings,2024-04-09,Stress Crack,35,879,0.0398,Minor,Machine calibration,2024-04-09 00:00:00
132,Engine Mounts,2024-04-09,Incorrect Assembly,28,631,0.0444,Minor,Material variance,2024-04-09 00:00:00
133,Sensor Assemblies,2024-04-10,Porosity,3,289,0.0104,Major,Tool wear,2024-04-10 00:00:00
134,Turbine Blades,2024-04-10,Missing Component,0,306,0.0,Major,Material variance,2024-04-10 00:00:00
135,Landing Gear,2024-04-11,Thread Damage,36,934,0.0385,Major,Tool wear,2024-04-11 00:00:00
136,Engine Mounts,2024-04-11,Material Contamination,5,168,0.0298,Critical,Machine calibration,2024-04-11 00:00:00
137,Landing Gear,2024-04-11,Material Contamination,6,123,0.0488,Minor,Environmental factors,2024-04-11 00:00:00
138,Sensor Assemblies,2024-04-12,Dimensional Out-of-Spec,1,779,0.0013,Major,Material variance,2024-04-12 00:00:00
139,Precision Bearings,2024-04-13,Weld Defect,32,769,0.0416,Critical,Environmental factors,2024-04-13 00:00:00
140,Control Valves,2024-04-13,Coating Failure,4,105,0.0381,Major,Tool wear,2024-04-13 00:00:00
141,Control Valves,2024-04-13,Stress Crack,37,803,0.0461,Critical,Environmental factors,2024-04-13 00:00:00
142,Composite Panels,2024-04-15,Material Contamination,2,149,0.0134,Critical,Material variance,2024-04-15 00:00:00
143,Landing Gear,2024-04-16,Stress Crack,43,987,0.0436,Major,Process deviation,2024-04-16 00:00:00
144,Turbine Blades,2024-04-17,Dimensional Out-of-Spec,9,217,0.0415,Critical,Tool wear,2024-04-17 00:00:00
145,Composite Panels,2024-04-18,Material Contamination,2,207,0.0097,Critical,Tool wear,2024-04-18 00:00:00
146,Turbine Blades,2024-04-18,Incorrect Assembly,4,557,0.0072,Minor,Machine calibration,2024-04-18 00:00:00
147,Engine Mounts,2024-04-18,Thread Damage,6,354,0.0169,Minor,Machine calibration,2024-04-18 00:00:00
148,Turbine Blades,2024-04-19,Weld Defect,18,400,0.045,Major,Process deviation,2024-04-19 00:00:00
149,Control Valves,2024-04-20,Material Contamination,0,649,0.0,Major,Machine calibration,2024-04-20 00:00:00
150,Precision Bearings,2024-04-20,Dimensional Out-of-Spec,33,895,0.0369,Critical,Operator error,2024-04-20 00:00:00
151,Landing Gear,2024-04-21,Surface Scratch,4,192,0.0208,Minor,Machine calibration,2024-04-21 00:00:00
152,Hydraulic Actuators,2024-04-22,Thread Damage,0,445,0.0,Minor,Operator error,2024-04-22 00:00:00
153,Hydraulic Actuators,2024-04-22,Missing Component,9,253,0.0356,Major,Material variance,2024-04-22 00:00:00
154,Turbine Blades,2024-04-22,Weld Defect,37,960,0.0385,Minor,Operator error,2024-04-22 00:00:00
155,Composite Panels,2024-04-23,Surface Scratch,4,959,0.0042,Critical,Machine calibration,2024-04-23 00:00:00
156,Sensor Assemblies,2024-04-23,Thread Damage,11,231,0.0476,Major,Tool wear,2024-04-23 00:00:00
157,Engine Mounts,2024-04-25,Missing Component,2,221,0.009,Critical,Process deviation,2024-04-25 00:00:00
158,Sensor Assemblies,2024-04-26,Coating Failure,23,652,0.0353,Major,Material variance,2024-04-26 00:00:00
159,Control Valves,2024-04-26,Missing Component,1,966,0.001,Critical,Machine calibration,2024-04-26 00:00:00
160,Turbine Blades,2024-04-27,Surface Scratch,7,244,0.0287,Major,Tool wear,2024-04-27 00:00:00
161,Hydraulic Actuators,2024-04-28,Porosity,7,590,0.0119,Major,Operator error,2024-04-28 00:00:00
162,Turbine Blades,2024-04-28,Thread Damage,9,270,0.0333,Critical,Process deviation,2024-04-28 00:00:00
163,Composite Panels,2024-04-30,Surface Scratch,37,982,0.0377,Major,Material variance,2024-04-30 00:00:00
164,Hydraulic Actuators,2024-04-30,Porosity,4,229,0.0175,Minor,Tool wear,2024-04-30 00:00:00
165,Sensor Assemblies,2024-04-30,Material Contamination,8,427,0.0187,Minor,Machine calibration,2024-04-30 00:00:00
166,Precision Bearings,2024-05-02,Surface Scratch,1,133,0.0075,Critical,Tool wear,2024-05-02 00:00:00
167,Composite Panels,2024-05-03,Stress Crack,18,608,0.0296,Major,Process deviation,2024-05-03 00:00:00
168,Precision Bearings,2024-05-03,Incorrect Assembly,4,737,0.0054,Major,Environmental factors,2024-05-03 00:00:00
169,Sensor Assemblies,2024-05-04,Material Contamination,13,391,0.0332,Critical,Operator error,2024-05-04 00:00:00
170,Engine Mounts,2024-05-04,Material Contamination,6,961,0.0062,Major,Process deviation,2024-05-04 00:00:00
171,Turbine Blades,2024-05-05,Porosity,0,213,0.0,Critical,Tool wear,2024-05-05 00:00:00
172,Landing Gear,2024-05-05,Surface Scratch,1,139,0.0072,Minor,Process deviation,2024-05-05 00:00:00
173,Control Valves,2024-05-05,Coating Failure,7,202,0.0347,Major,Tool wear,2024-05-05 00:00:00
174,Hydraulic Actuators,2024-05-06,Surface Scratch,16,533,0.03,Minor,Tool wear,2024-05-06 00:00:00
175,Landing Gear,2024-05-06,Incorrect Assembly,46,931,0.0494,Major,Tool wear,2024-05-06 00:00:00
176,Hydraulic Actuators,2024-05-06,Dimensional Out-of-Spec,1,706,0.0014,Major,Machine calibration,2024-05-06 00:00:00
177,Landing Gear,2024-05-08,Coating Failure,1,300,0.0033,Major,Tool wear,2024-05-08 00:00:00
178,Control Valves,2024-05-08,Weld Defect,7,155,0.0452,Major,Tool wear,2024-05-08 00:00:00
179,Turbine Blades,2024-05-08,Incorrect Assembly,18,932,0.0193,Minor,Operator error,2024-05-08 00:00:00
180,Precision Bearings,2024-05-09,Material Contamination,12,304,0.0395,Critical,Machine calibration,2024-05-09 00:00:00
181,Control Valves,2024-05-09,Thread Damage,0,125,0.0,Major,Material variance,2024-05-09 00:00:00
182,Sensor Assemblies,2024-05-09,Stress Crack,22,644,0.0342,Major,Machine calibration,2024-05-09 00:00:00
183,Precision Bearings,2024-05-10,Weld Defect,0,608,0.0,Critical,Environmental factors,2024-05-10 00:00:00
184,Turbine Blades,2024-05-10,Weld Defect,6,441,0.0136,Minor,Process deviation,2024-05-10 00:00:00
185,Hydraulic Actuators,2024-05-10,Missing Component,28,942,0.0297,Major,Process deviation,2024-05-10 00:00:00
186,Hydraulic Actuators,2024-05-11,Thread Damage,5,180,0.0278,Critical,Environmental factors,2024-05-11 00:00:00
187,Control Valves,2024-05-11,Stress Crack,8,950,0.0084,Critical,Tool wear,2024-05-11 00:00:00
188,Turbine Blades,2024-05-11,Coating Failure,12,372,0.0323,Major,Tool wear,2024-05-11 00:00:00
189,Sensor Assemblies,2024-05-12,Surface Scratch,37,741,0.0499,Critical,Tool wear,2024-05-12 00:00:00
190,Turbine Blades,2024-05-12,Stress Crack,18,557,0.0323,Minor,Process deviation,2024-05-12 00:00:00
191,Turbine Blades,2024-05-14,Missing Component,5,120,0.0417,Minor,Material variance,2024-05-14 00:00:00
192,Landing Gear,2024-05-14,Thread Damage,45,940,0.0479,Minor,Machine calibration,2024-05-14 00:00:00
193,Turbine Blades,2024-05-15,Dimensional Out-of-Spec,7,422,0.0166,Major,Material variance,2024-05-15 00:00:00
194,Turbine Blades,2024-05-15,Surface Scratch,16,361,0.0443,Minor,Operator error,2024-05-15 00:00:00
195,Composite Panels,2024-05-16,Porosity,38,902,0.0421,Major,Machine calibration,2024-05-16 00:00:00
196,Control Valves,2024-05-16,Weld Defect,4,763,0.0052,Major,Environmental factors,2024-05-16 00:00:00
197,Engine Mounts,2024-05-16,Coating Failure,7,801,0.0087,Major,Environmental factors,2024-05-16 00:00:00
198,Landing Gear,2024-05-17,Dimensional Out-of-Spec,12,520,0.0231,Critical,Material variance,2024-05-17 00:00:00
199,Engine Mounts,2024-05-17,Stress Crack,1,393,0.0025,Major,Environmental factors,2024-05-17 00:00:00
200,Control Valves,2024-05-18,Incorrect Assembly,5,338,0.0148,Major,Material variance,2024-05-18 00:00:00
201,Control Valves,2024-05-18,Thread Damage,32,854,0.0375,Minor,Operator error,2024-05-18 00:00:00
202,Turbine Blades,2024-05-20,Material Contamination,4,168,0.0238,Major,Machine calibration,2024-05-20 00:00:00
203,Hydraulic Actuators,2024-05-20,Stress Crack,1,126,0.0079,Critical,Environmental factors,2024-05-20 00:00:00
204,Engine Mounts,2024-05-20,Material Contamination,34,939,0.0362,Critical,Tool wear,2024-05-20 00:00:00
205,Turbine Blades,2024-05-21,Surface Scratch,10,961,0.0104,Minor,Machine calibration,2024-05-21 00:00:00
206,Precision Bearings,2024-05-21,Dimensional Out-of-Spec,8,197,0.0406,Critical,Operator error,2024-05-21 00:00:00
207,Engine Mounts,2024-05-21,Dimensional Out-of-Spec,1,250,0.004,Major,Tool wear,2024-05-21 00:00:00
208,Turbine Blades,2024-05-22,Porosity,4,934,0.0043,Major,Operator error,2024-05-22 00:00:00
209,Precision Bearings,2024-05-22,Material Contamination,8,647,0.0124,Critical,Process deviation,2024-05-22 00:00:00
210,Control Valves,2024-05-23,Porosity,28,684,0.0409,Major,Process deviation,2024-05-23 00:00:00
211,Turbine Blades,2024-05-23,Surface Scratch,11,652,0.0169,Critical,Operator error,2024-05-23 00:00:00
212,Engine Mounts,2024-05-25,Dimensional Out-of-Spec,15,427,0.0351,Critical,Material variance,2024-05-25 00:00:00
213,Composite Panels,2024-05-25,Missing Component,5,676,0.0074,Minor,Process deviation,2024-05-25 00:00:00
214,Landing Gear,2024-05-25,Dimensional Out-of-Spec,41,882,0.0465,Critical,Environmental factors,2024-05-25 00:00:00
215,Precision Bearings,2024-05-26,Thread Damage,10,910,0.011,Minor,Process deviation,2024-05-26 00:00:00
216,Hydraulic Actuators,2024-05-26,Coating Failure,23,574,0.0401,Minor,Machine calibration,2024-05-26 00:00:00
217,Engine Mounts,2024-05-26,Missing Component,3,780,0.0038,Critical,Environmental factors,2024-05-26 00:00:00
218,Control Valves,2024-05-27,Missing Component,7,830,0.0084,Critical,Environmental factors,2024-05-27 00:00:00
219,Composite Panels,2024-05-27,Coating Failure,5,215,0.0233,Critical,Process deviation,2024-05-27 00:00:00
220,Hydraulic Actuators,2024-05-28,Porosity,9,599,0.015,Minor,Material variance,2024-05-28 00:00:00
221,Composite Panels,2024-05-29,Stress Crack,3,462,0.0065,Minor,Machine calibration,2024-05-29 00:00:00
222,Composite Panels,2024-05-29,Surface Scratch,4,286,0.014,Minor,Process deviation,2024-05-29 00:00:00
223,Composite Panels,2024-05-30,Weld Defect,17,492,0.0346,Minor,Operator error,2024-05-30 00:00:00
224,Composite Panels,2024-05-30,Stress Crack,2,126,0.0159,Minor,Operator error,2024-05-30 00:00:00
225,Landing Gear,2024-05-31,Material Contamination,0,554,0.0,Minor,Operator error,2024-05-31 00:00:00
226,Hydraulic Actuators,2024-06-02,Thread Damage,5,263,0.019,Critical,Machine calibration,2024-06-02 00:00:00
227,Composite Panels,2024-06-02,Porosity,17,381,0.0446,Critical,Tool wear,2024-06-02 00:00:00
228,Control Valves,2024-06-02,Coating Failure,17,372,0.0457,Minor,Machine calibration,2024-06-02 00:00:00
229,Turbine Blades,2024-06-03,Missing Component,4,546,0.0073,Major,Process deviation,2024-06-03 00:00:00
230,Engine Mounts,2024-06-04,Coating Failure,4,716,0.0056,Critical,Environmental factors,2024-06-04 00:00:00
231,Landing Gear,2024-06-07,Thread Damage,3,319,0.0094,Minor,Material variance,2024-06-07 00:00:00
232,Sensor Assemblies,2024-06-07,Material Contamination,38,777,0.0489,Critical,Machine calibration,2024-06-07 00:00:00
233,Landing Gear,2024-06-08,Stress Crack,6,338,0.0178,Minor,Process deviation,2024-06-08 00:00:00
234,Turbine Blades,2024-06-08,Weld Defect,5,449,0.0111,Critical,Operator error,2024-06-08 00:00:00
235,Sensor Assemblies,2024-06-08,Dimensional Out-of-Spec,32,669,0.0478,Major,Operator error,2024-06-08 00:00:00
236,Sensor Assemblies,2024-06-10,Stress Crack,9,385,0.0234,Critical,Operator error,2024-06-10 00:00:00
237,Sensor Assemblies,2024-06-13,Weld Defect,2,765,0.0026,Minor,Operator error,2024-06-13 00:00:00
238,Precision Bearings,2024-06-13,Thread Damage,6,128,0.0469,Major,Process deviation,2024-06-13 00:00:00
239,Landing Gear,2024-06-13,Stress Crack,24,581,0.0413,Minor,Tool wear,2024-06-13 00:00:00
240,Precision Bearings,2024-06-14,Thread Damage,34,708,0.048,Minor,Machine calibration,2024-06-14 00:00:00
241,Engine Mounts,2024-06-17,Material Contamination,35,953,0.0367,Critical,Operator error,2024-06-17 00:00:00
242,Landing Gear,2024-06-17,Coating Failure,8,553,0.0145,Minor,Tool wear,2024-06-17 00:00:00
243,Control Valves,2024-06-17,Thread Damage,20,959,0.0209,Critical,Process deviation,2024-06-17 00:00:00
244,Precision Bearings,2024-06-18,Thread Damage,27,659,0.041,Minor,Environmental factors,2024-06-18 00:00:00
245,Control Valves,2024-06-18,Coating Failure,37,815,0.0454,Minor,Environmental factors,2024-06-18 00:00:00
246,Engine Mounts,2024-06-18,Coating Failure,16,419,0.0382,Minor,Operator error,2024-06-18 00:00:00
