ncm_id,incident_date,product_line,supplier_id,material_type,defect_description,quantity_affected,severity,root_cause,cost_impact,status,created_date
30,2024-02-04,Engine Mounts,2,Aluminum 7075-T6,Storage damage - corrosion from improper handling,71,Critical,Raw material batch variation,31846.14,Closed,2024-02-04 00:00:00
31,2024-02-05,Precision Bearings,27,Inconel 718,Certificate of Conformance missing required test data,152,Critical,Supplier change notification missed,8548.73,Closed,2024-02-05 00:00:00
32,2024-02-05,Landing Gear,4,Titanium Alloy Ti-6Al-4V,Incoming inspection failed - visual defects on surface,161,Major,Transportation damage,5834.02,Closed,2024-02-05 00:00:00
33,2024-02-06,Hydraulic Actuators,8,Titanium Alloy Ti-6Al-4V,Chemical composition out of spec - carbon content high,43,Minor,Specification interpretation error,326.68,Closed,2024-02-06 00:00:00
34,2024-02-07,Hydraulic Actuators,22,Magnesium AZ31B,Material hardness below specification - failed Rockwell test,165,Critical,Specification interpretation error,5814.03,Closed,2024-02-07 00:00:00
35,2024-02-07,Precision Bearings,16,Titanium Alloy Ti-6Al-4V,Material substitution without engineering approval,95,Major,Transportation damage,7400.51,Closed,2024-02-07 00:00:00
36,2024-02-08,Control Valves,29,Aluminum 7075-T6,Storage damage - corrosion from improper handling,82,Critical,Documentation error,24970.69,Closed,2024-02-08 00:00:00
37,2024-02-08,Control Valves,24,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,36,Minor,Supplier change notification missed,617.37,Closed,2024-02-08 00:00:00
38,2024-02-11,Composite Panels,23,Nickel Superalloy,Surface contamination detected - oil residue on raw stock,56,Critical,Incoming inspection escape,21348.59,Open,2024-02-11 00:00:00
39,2024-02-13,Engine Mounts,16,Titanium Alloy Ti-6Al-4V,Incoming inspection failed - visual defects on surface,248,Critical,Supplier process deviation,14723.68,Closed,2024-02-13 00:00:00
40,2024-02-14,Turbine Blades,8,Copper C110,Material hardness below specification - failed Rockwell test,131,Major,Transportation damage,4562.29,Closed,2024-02-14 00:00:00
41,2024-02-15,Landing Gear,17,Ceramic Matrix Composite,Material substitution without engineering approval,22,Minor,Raw material batch variation,1303.25,Closed,2024-02-15 00:00:00
42,2024-02-15,Control Valves,1,Titanium Alloy Ti-6Al-4V,Grain structure anomaly - improper heat treatment by supplier,12,Minor,Supplier process deviation,183.22,Closed,2024-02-15 00:00:00
43,2024-02-17,Turbine Blades,5,Magnesium AZ31B,Incoming inspection failed - visual defects on surface,15,Minor,Specification interpretation error,598.36,Closed,2024-02-17 00:00:00
44,2024-02-18,Sensor Assemblies,20,Inconel 718,Certificate of Conformance missing required test data,344,Critical,Supplier process deviation,43586.07,Closed,2024-02-18 00:00:00
45,2024-02-18,Composite Panels,2,Magnesium AZ31B,Chemical composition out of spec - carbon content high,287,Critical,Documentation error,10987.16,Closed,2024-02-18 00:00:00
46,2024-02-19,Precision Bearings,26,Stainless Steel 304L,Material substitution without engineering approval,13,Minor,Incoming inspection escape,1222.02,Pending Disposition,2024-02-19 00:00:00
47,2024-02-20,Sensor Assemblies,30,Tool Steel D2,Surface contamination detected - oil residue on raw stock,113,Critical,Supplier change notification missed,28120.76,Closed,2024-02-20 00:00:00
48,2024-02-21,Sensor Assemblies,21,Nickel Superalloy,Certificate of Conformance missing required test data,23,Minor,Transportation damage,501.59,Closed,2024-02-21 00:00:00
49,2024-02-23,Sensor Assemblies,26,Copper C110,Certificate of Conformance missing required test data,365,Critical,Supplier change notification missed,10550.66,Closed,2024-02-23 00:00:00
50,2024-02-23,Control Valves,1,Stainless Steel 304L,Material substitution without engineering approval,127,Major,Supplier change notification missed,1922.94,Closed,2024-02-23 00:00:00
51,2024-02-25,Precision Bearings,1,Nickel Superalloy,Material hardness below specification - failed Rockwell test,59,Major,Transportation damage,8773.23,Closed,2024-02-25 00:00:00
52,2024-02-27,Landing Gear,26,Carbon Fiber Composite,Material hardness below specification - failed Rockwell test,26,Major,Raw material batch variation,5535.71,Under Review,2024-02-27 00:00:00
53,2024-02-29,Landing Gear,24,Titanium Alloy Ti-6Al-4V,Incoming inspection failed - visual defects on surface,44,Major,Specification interpretation error,5473.45,Closed,2024-02-29 00:00:00
54,2024-02-29,Turbine Blades,19,Carbon Fiber Composite,Grain structure anomaly - improper heat treatment by supplier,85,Major,Documentation error,2160.54,Closed,2024-02-29 00:00:00
55,2024-03-01,Precision Bearings,15,Copper C110,Grain structure anomaly - improper heat treatment by supplier,185,Critical,Raw material batch variation,36934.48,Closed,2024-03-01 00:00:00
56,2024-03-02,Sensor Assemblies,26,Copper C110,Lot traceability documentation incomplete,34,Minor,Raw material batch variation,1884.04,Closed,2024-03-02 00:00:00
57,2024-03-02,Landing Gear,19,Nickel Superalloy,Certificate of Conformance missing required test data,45,Minor,Incoming inspection escape,1871.57,Closed,2024-03-02 00:00:00
58,2024-03-03,Control Valves,13,Carbon Fiber Composite,Incoming inspection failed - visual defects on surface,51,Major,Specification interpretation error,3970.88,Closed,2024-03-03 00:00:00
59,2024-03-03,Engine Mounts,9,Magnesium AZ31B,Material hardness below specification - failed Rockwell test,21,Major,Transportation damage,5922.45,Closed,2024-03-03 00:00:00
60,2024-03-05,Engine Mounts,23,Carbon Fiber Composite,Material hardness below specification - failed Rockwell test,42,Major,Raw material batch variation,8211.6,Closed,2024-03-05 00:00:00
61,2024-03-05,Hydraulic Actuators,19,Carbon Fiber Composite,Grain structure anomaly - improper heat treatment by supplier,234,Critical,Storage condition failure,6149.0,Closed,2024-03-05 00:00:00
62,2024-03-07,Engine Mounts,23,Nickel Superalloy,Chemical composition out of spec - carbon content high,118,Critical,Incoming inspection escape,40376.03,Open,2024-03-07 00:00:00
63,2024-03-07,Hydraulic Actuators,6,Magnesium AZ31B,Certificate of Conformance missing required test data,61,Major,Transportation damage,3160.66,Closed,2024-03-07 00:00:00
64,2024-03-08,Engine Mounts,6,Inconel 718,Grain structure anomaly - improper heat treatment by supplier,179,Major,Documentation error,9266.02,Closed,2024-03-08 00:00:00
65,2024-03-09,Turbine Blades,5,Aluminum 7075-T6,Chemical composition out of spec - carbon content high,143,Critical,Supplier process deviation,15723.43,Open,2024-03-09 00:00:00
66,2024-03-09,Control Valves,14,Stainless Steel 304L,Dimensional variance exceeds tolerance - undersized bar stock,139,Critical,Storage condition failure,39251.54,Closed,2024-03-09 00:00:00
67,2024-03-10,Landing Gear,16,Titanium Alloy Ti-6Al-4V,Lot traceability documentation incomplete,14,Minor,Documentation error,1222.88,Closed,2024-03-10 00:00:00
68,2024-03-11,Landing Gear,28,Nickel Superalloy,Material hardness below specification - failed Rockwell test,196,Major,Specification interpretation error,8584.67,Closed,2024-03-11 00:00:00
69,2024-03-12,Landing Gear,14,Titanium Alloy Ti-6Al-4V,Certificate of Conformance missing required test data,163,Critical,Incoming inspection escape,29800.14,Open,2024-03-12 00:00:00
70,2024-03-14,Hydraulic Actuators,5,Magnesium AZ31B,Lot traceability documentation incomplete,58,Major,Specification interpretation error,9936.06,Closed,2024-03-14 00:00:00
71,2024-03-14,Control Valves,15,Tool Steel D2,Material hardness below specification - failed Rockwell test,262,Critical,Supplier change notification missed,47265.51,Closed,2024-03-14 00:00:00
72,2024-03-15,Precision Bearings,30,Tool Steel D2,Incoming inspection failed - visual defects on surface,33,Minor,Supplier process deviation,1008.47,Open,2024-03-15 00:00:00
73,2024-03-16,Turbine Blades,26,Stainless Steel 304L,Dimensional variance exceeds tolerance - undersized bar stock,63,Major,Incoming inspection escape,6529.26,Closed,2024-03-16 00:00:00
74,2024-03-18,Turbine Blades,27,Titanium Alloy Ti-6Al-4V,Dimensional variance exceeds tolerance - undersized bar stock,50,Minor,Specification interpretation error,998.54,Closed,2024-03-18 00:00:00
75,2024-03-18,Turbine Blades,9,Copper C110,Material substitution without engineering approval,32,Minor,Transportation damage,1331.21,Closed,2024-03-18 00:00:00
76,2024-03-19,Composite Panels,15,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,51,Critical,Supplier process deviation,21706.26,Closed,2024-03-19 00:00:00
77,2024-03-22,Control Valves,13,Nickel Superalloy,Chemical composition out of spec - carbon content high,27,Minor,Supplier change notification missed,1358.48,Closed,2024-03-22 00:00:00
78,2024-03-22,Landing Gear,24,Magnesium AZ31B,Storage damage - corrosion from improper handling,88,Major,Storage condition failure,6163.09,Closed,2024-03-22 00:00:00
79,2024-03-24,Control Valves,30,Ceramic Matrix Composite,Material substitution without engineering approval,41,Minor,Incoming inspection escape,1428.07,Closed,2024-03-24 00:00:00
80,2024-03-24,Landing Gear,27,Titanium Alloy Ti-6Al-4V,Storage damage - corrosion from improper handling,200,Major,Documentation error,6388.68,Closed,2024-03-24 00:00:00
81,2024-03-25,Precision Bearings,1,Nickel Superalloy,Certificate of Conformance missing required test data,47,Minor,Incoming inspection escape,1434.18,Open,2024-03-25 00:00:00
82,2024-03-28,Precision Bearings,8,Tool Steel D2,Storage damage - corrosion from improper handling,45,Major,Raw material batch variation,1912.86,Pending Disposition,2024-03-28 00:00:00
83,2024-03-28,Landing Gear,28,Carbon Fiber Composite,Chemical composition out of spec - carbon content high,163,Major,Supplier process deviation,6543.26,Closed,2024-03-28 00:00:00
84,2024-03-30,Hydraulic Actuators,3,Inconel 718,Dimensional variance exceeds tolerance - undersized bar stock,49,Minor,Storage condition failure,955.82,Closed,2024-03-30 00:00:00
85,2024-03-30,Precision Bearings,27,Nickel Superalloy,Lot traceability documentation incomplete,183,Major,Specification interpretation error,3701.54,Open,2024-03-30 00:00:00
86,2024-03-31,Hydraulic Actuators,25,Magnesium AZ31B,Material hardness below specification - failed Rockwell test,319,Critical,Documentation error,14226.33,Closed,2024-03-31 00:00:00
87,2024-03-31,Precision Bearings,22,Aluminum 7075-T6,Grain structure anomaly - improper heat treatment by supplier,75,Critical,Incoming inspection escape,22456.98,Closed,2024-03-31 00:00:00
88,2024-04-01,Sensor Assemblies,21,Stainless Steel 304L,Certificate of Conformance missing required test data,167,Major,Supplier process deviation,3753.53,Closed,2024-04-01 00:00:00
89,2024-04-01,Sensor Assemblies,25,Ceramic Matrix Composite,Certificate of Conformance missing required test data,33,Minor,Storage condition failure,913.92,Closed,2024-04-01 00:00:00
90,2024-04-02,Control Valves,18,Inconel 718,Grain structure anomaly - improper heat treatment by supplier,489,Critical,Supplier change notification missed,43534.22,Closed,2024-04-02 00:00:00
91,2024-04-02,Landing Gear,26,Inconel 718,Certificate of Conformance missing required test data,80,Critical,Raw material batch variation,42773.48,Closed,2024-04-02 00:00:00
92,2024-04-03,Hydraulic Actuators,13,Copper C110,Lot traceability documentation incomplete,215,Critical,Supplier change notification missed,9453.04,Closed,2024-04-03 00:00:00
93,2024-04-04,Engine Mounts,11,Copper C110,Lot traceability documentation incomplete,30,Minor,Documentation error,1860.9,Closed,2024-04-04 00:00:00
94,2024-04-07,Composite Panels,16,Magnesium AZ31B,Incoming inspection failed - visual defects on surface,33,Major,Supplier change notification missed,1051.49,Closed,2024-04-07 00:00:00
95,2024-04-08,Hydraulic Actuators,28,Nickel Superalloy,Incoming inspection failed - visual defects on surface,111,Major,Incoming inspection escape,7149.64,Under Review,2024-04-08 00:00:00
96,2024-04-08,Hydraulic Actuators,4,Aluminum 7075-T6,Material substitution without engineering approval,491,Critical,Specification interpretation error,45129.84,Closed,2024-04-08 00:00:00
97,2024-04-09,Hydraulic Actuators,1,Nickel Superalloy,Material hardness below specification - failed Rockwell test,258,Critical,Storage condition failure,14071.59,Closed,2024-04-09 00:00:00
98,2024-04-10,Engine Mounts,27,Carbon Fiber Composite,Certificate of Conformance missing required test data,281,Critical,Storage condition failure,37858.54,Open,2024-04-10 00:00:00
99,2024-04-11,Precision Bearings,10,Titanium Alloy Ti-6Al-4V,Dimensional variance exceeds tolerance - undersized bar stock,312,Critical,Supplier process deviation,46233.81,Closed,2024-04-11 00:00:00
100,2024-04-11,Sensor Assemblies,26,Carbon Fiber Composite,Material hardness below specification - failed Rockwell test,44,Minor,Incoming inspection escape,192.17,Closed,2024-04-11 00:00:00
101,2024-04-12,Control Valves,3,Nickel Superalloy,Surface contamination detected - oil residue on raw stock,23,Major,Specification interpretation error,7011.76,Closed,2024-04-12 00:00:00
102,2024-04-12,Engine Mounts,20,Copper C110,Dimensional variance exceeds tolerance - undersized bar stock,13,Minor,Incoming inspection escape,1767.52,Closed,2024-04-12 00:00:00
103,2024-04-15,Precision Bearings,13,Magnesium AZ31B,Grain structure anomaly - improper heat treatment by supplier,25,Minor,Documentation error,125.05,Closed,2024-04-15 00:00:00
104,2024-04-16,Engine Mounts,25,Magnesium AZ31B,Grain structure anomaly - improper heat treatment by supplier,23,Major,Incoming inspection escape,9890.71,Closed,2024-04-16 00:00:00
105,2024-04-17,Sensor Assemblies,1,Nickel Superalloy,Material hardness below specification - failed Rockwell test,40,Minor,Transportation damage,1673.94,Pending Disposition,2024-04-17 00:00:00
106,2024-04-17,Precision Bearings,20,Aluminum 7075-T6,Incoming inspection failed - visual defects on surface,31,Major,Transportation damage,2324.25,Closed,2024-04-17 00:00:00
107,2024-04-18,Precision Bearings,17,Stainless Steel 304L,Dimensional variance exceeds tolerance - undersized bar stock,6,Minor,Supplier process deviation,1698.91,Closed,2024-04-18 00:00:00
108,2024-04-21,Engine Mounts,24,Magnesium AZ31B,Incoming inspection failed - visual defects on surface,23,Minor,Documentation error,973.69,Closed,2024-04-21 00:00:00
109,2024-04-21,Precision Bearings,4,Tool Steel D2,Dimensional variance exceeds tolerance - undersized bar stock,267,Critical,Storage condition failure,28106.84,Closed,2024-04-21 00:00:00
110,2024-04-23,Hydraulic Actuators,17,Nickel Superalloy,Material substitution without engineering approval,46,Minor,Incoming inspection escape,708.0,Closed,2024-04-23 00:00:00
111,2024-04-23,Composite Panels,4,Nickel Superalloy,Material hardness below specification - failed Rockwell test,442,Critical,Documentation error,16011.17,Pending Disposition,2024-04-23 00:00:00
112,2024-04-24,Precision Bearings,13,Tool Steel D2,Grain structure anomaly - improper heat treatment by supplier,479,Critical,Raw material batch variation,25666.1,Closed,2024-04-24 00:00:00
113,2024-04-24,Engine Mounts,28,Ceramic Matrix Composite,Grain structure anomaly - improper heat treatment by supplier,246,Critical,Raw material batch variation,36490.72,Closed,2024-04-24 00:00:00
114,2024-04-25,Landing Gear,3,Inconel 718,Certificate of Conformance missing required test data,58,Major,Documentation error,5867.94,Closed,2024-04-25 00:00:00
115,2024-04-26,Precision Bearings,19,Nickel Superalloy,Dimensional variance exceeds tolerance - undersized bar stock,171,Major,Storage condition failure,6605.72,Closed,2024-04-26 00:00:00
116,2024-04-28,Hydraulic Actuators,24,Tool Steel D2,Storage damage - corrosion from improper handling,110,Critical,Supplier process deviation,34419.35,Closed,2024-04-28 00:00:00
117,2024-05-02,Turbine Blades,22,Nickel Superalloy,Incoming inspection failed - visual defects on surface,457,Critical,Incoming inspection escape,36879.32,Closed,2024-05-02 00:00:00
118,2024-05-03,Engine Mounts,18,Magnesium AZ31B,Lot traceability documentation incomplete,332,Critical,Documentation error,35199.45,Closed,2024-05-03 00:00:00
119,2024-05-03,Precision Bearings,23,Copper C110,Incoming inspection failed - visual defects on surface,277,Critical,Storage condition failure,33220.4,Closed,2024-05-03 00:00:00
120,2024-05-04,Landing Gear,17,Magnesium AZ31B,Grain structure anomaly - improper heat treatment by supplier,48,Minor,Specification interpretation error,1127.5,Pending Disposition,2024-05-04 00:00:00
121,2024-05-04,Sensor Assemblies,3,Tool Steel D2,Storage damage - corrosion from improper handling,36,Minor,Incoming inspection escape,223.12,Closed,2024-05-04 00:00:00
122,2024-05-05,Composite Panels,17,Stainless Steel 304L,Material substitution without engineering approval,331,Critical,Specification interpretation error,23224.42,Under Review,2024-05-05 00:00:00
123,2024-05-07,Hydraulic Actuators,1,Carbon Fiber Composite,Storage damage - corrosion from improper handling,254,Critical,Supplier change notification missed,35836.15,Pending Disposition,2024-05-07 00:00:00
124,2024-05-07,Hydraulic Actuators,4,Titanium Alloy Ti-6Al-4V,Incoming inspection failed - visual defects on surface,452,Critical,Raw material batch variation,47104.44,Closed,2024-05-07 00:00:00
125,2024-05-08,Landing Gear,29,Tool Steel D2,Certificate of Conformance missing required test data,381,Critical,Raw material batch variation,46777.92,Closed,2024-05-08 00:00:00
126,2024-05-08,Hydraulic Actuators,17,Nickel Superalloy,Certificate of Conformance missing required test data,300,Critical,Supplier process deviation,34198.52,Open,2024-05-08 00:00:00
127,2024-05-10,Hydraulic Actuators,19,Inconel 718,Certificate of Conformance missing required test data,125,Critical,Storage condition failure,26647.14,Closed,2024-05-10 00:00:00
128,2024-05-12,Composite Panels,29,Carbon Fiber Composite,Incoming inspection failed - visual defects on surface,34,Minor,Supplier process deviation,677.2,Closed,2024-05-12 00:00:00
129,2024-05-13,Sensor Assemblies,16,Carbon Fiber Composite,Grain structure anomaly - improper heat treatment by supplier,125,Major,Documentation error,5599.29,Closed,2024-05-13 00:00:00
130,2024-05-14,Engine Mounts,23,Aluminum 7075-T6,Dimensional variance exceeds tolerance - undersized bar stock,276,Critical,Storage condition failure,41016.47,Open,2024-05-14 00:00:00
131,2024-05-15,Sensor Assemblies,11,Titanium Alloy Ti-6Al-4V,Incoming inspection failed - visual defects on surface,25,Minor,Transportation damage,181.15,Closed,2024-05-15 00:00:00
132,2024-05-16,Engine Mounts,3,Stainless Steel 304L,Chemical composition out of spec - carbon content high,19,Minor,Supplier process deviation,1246.66,Closed,2024-05-16 00:00:00
133,2024-05-16,Sensor Assemblies,10,Stainless Steel 304L,Surface contamination detected - oil residue on raw stock,11,Minor,Incoming inspection escape,1121.05,Closed,2024-05-16 00:00:00
134,2024-05-17,Landing Gear,2,Titanium Alloy Ti-6Al-4V,Grain structure anomaly - improper heat treatment by supplier,381,Critical,Supplier change notification missed,47129.41,Closed,2024-05-17 00:00:00
135,2024-05-18,Landing Gear,15,Tool Steel D2,Storage damage - corrosion from improper handling,120,Major,Raw material batch variation,6650.07,Closed,2024-05-18 00:00:00
136,2024-05-18,Turbine Blades,24,Tool Steel D2,Material hardness below specification - failed Rockwell test,33,Minor,Transportation damage,1313.85,Closed,2024-05-18 00:00:00
137,2024-05-20,Precision Bearings,10,Magnesium AZ31B,Storage damage - corrosion from improper handling,94,Major,Incoming inspection escape,4837.17,Closed,2024-05-20 00:00:00
138,2024-05-20,Control Valves,1,Titanium Alloy Ti-6Al-4V,Surface contamination detected - oil residue on raw stock,129,Major,Supplier change notification missed,7530.66,Closed,2024-05-20 00:00:00
139,2024-05-23,Engine Mounts,11,Aluminum 7075-T6,Incoming inspection failed - visual defects on surface,309,Critical,Specification interpretation error,39127.21,Closed,2024-05-23 00:00:00
140,2024-05-23,Engine Mounts,12,Inconel 718,Lot traceability documentation incomplete,43,Minor,Storage condition failure,1842.29,Closed,2024-05-23 00:00:00
141,2024-05-25,Control Valves,13,Copper C110,Material substitution without engineering approval,41,Minor,Documentation error,171.72,Closed,2024-05-25 00:00:00
142,2024-05-25,Precision Bearings,30,Stainless Steel 304L,Surface contamination detected - oil residue on raw stock,19,Minor,Supplier change notification missed,410.99,Pending Disposition,2024-05-25 00:00:00
143,2024-05-26,Sensor Assemblies,3,Nickel Superalloy,Certificate of Conformance missing required test data,39,Minor,Supplier process deviation,1503.85,Under Review,2024-05-26 00:00:00
144,2024-05-28,Composite Panels,10,Aluminum 7075-T6,Incoming inspection failed - visual defects on surface,119,Major,Documentation error,7381.17,Pending Disposition,2024-05-28 00:00:00
145,2024-05-29,Landing Gear,21,Aluminum 7075-T6,Lot traceability documentation incomplete,44,Minor,Supplier process deviation,1025.41,Under Review,2024-05-29 00:00:00
146,2024-06-03,Landing Gear,22,Stainless Steel 304L,Surface contamination detected - oil residue on raw stock,38,Major,Storage condition failure,6080.9,Closed,2024-06-03 00:00:00
147,2024-06-03,Precision Bearings,26,Titanium Alloy Ti-6Al-4V,Storage damage - corrosion from improper handling,118,Major,Incoming inspection escape,7008.82,Closed,2024-06-03 00:00:00
148,2024-06-04,Engine Mounts,7,Inconel 718,Material substitution without engineering approval,52,Major,Supplier change notification missed,3590.21,Closed,2024-06-04 00:00:00
149,2024-06-04,Control Valves,10,Nickel Superalloy,Incoming inspection failed - visual defects on surface,64,Critical,Supplier process deviation,39679.27,Closed,2024-06-04 00:00:00
150,2024-06-05,Composite Panels,24,Carbon Fiber Composite,Certificate of Conformance missing required test data,12,Minor,Supplier change notification missed,1656.42,Closed,2024-06-05 00:00:00
151,2024-06-05,Engine Mounts,15,Nickel Superalloy,Certificate of Conformance missing required test data,243,Critical,Raw material batch variation,31990.24,Closed,2024-06-05 00:00:00
152,2024-06-08,Composite Panels,24,Titanium Alloy Ti-6Al-4V,Dimensional variance exceeds tolerance - undersized bar stock,465,Critical,Transportation damage,17504.82,Closed,2024-06-08 00:00:00
153,2024-06-10,Control Valves,23,Carbon Fiber Composite,Lot traceability documentation incomplete,159,Major,Supplier change notification missed,6523.47,Pending Disposition,2024-06-10 00:00:00
154,2024-06-10,Composite Panels,8,Magnesium AZ31B,Storage damage - corrosion from improper handling,24,Major,Raw material batch variation,4222.75,Under Review,2024-06-10 00:00:00
155,2024-06-12,Precision Bearings,10,Inconel 718,Grain structure anomaly - improper heat treatment by supplier,95,Major,Storage condition failure,2082.68,Under Review,2024-06-12 00:00:00
156,2024-06-12,Engine Mounts,3,Stainless Steel 304L,Dimensional variance exceeds tolerance - undersized bar stock,112,Major,Supplier change notification missed,8663.2,Closed,2024-06-12 00:00:00
157,2024-06-15,Control Valves,13,Ceramic Matrix Composite,Storage damage - corrosion from improper handling,117,Major,Documentation error,7764.47,Pending Disposition,2024-06-15 00:00:00
158,2024-06-15,Composite Panels,29,Inconel 718,Dimensional variance exceeds tolerance - undersized bar stock,27,Minor,Specification interpretation error,1304.04,Closed,2024-06-15 00:00:00
159,2024-06-16,Composite Panels,15,Titanium Alloy Ti-6Al-4V,Grain structure anomaly - improper heat treatment by supplier,96,Major,Documentation error,8307.04,Closed,2024-06-16 00:00:00
160,2024-06-16,Hydraulic Actuators,1,Carbon Fiber Composite,Chemical composition out of spec - carbon content high,26,Minor,Incoming inspection escape,1623.01,Pending Disposition,2024-06-16 00:00:00
161,2024-06-17,Composite Panels,29,Carbon Fiber Composite,Storage damage - corrosion from improper handling,156,Major,Supplier process deviation,2266.14,Closed,2024-06-17 00:00:00
162,2024-06-18,Control Valves,16,Aluminum 7075-T6,Incoming inspection failed - visual defects on surface,234,Critical,Specification interpretation error,7974.71,Closed,2024-06-18 00:00:00
163,2024-06-19,Control Valves,19,Ceramic Matrix Composite,Lot traceability documentation incomplete,108,Critical,Specification interpretation error,21091.92,Closed,2024-06-19 00:00:00
164,2024-06-20,Sensor Assemblies,27,Stainless Steel 304L,Material hardness below specification - failed Rockwell test,497,Critical,Documentation error,7858.74,Closed,2024-06-20 00:00:00
